customer_user,old_customer,phone_number,email
harumun,1,66608991803,harumun035@gmail.com
tan_pocket,0,66889022146,tan_pocket463@gmail.com
j_jxhn,0,66967199554,j_jxhn542@gmail.com
emmilyck,0,66653446305,emmilyck057@gmail.com
wichavadeesooksamur,0,66861083907,wichavadeesooksamur078@gmail.com
plawrite12345,0,66648761399,plawrite12345995@gmail.com
usagi_chaw,0,66842956792,usagi_chaw926@gmail.com
maceeron,0,66670726232,maceeron326@gmail.com
yuiyukon,0,66848922473,yuiyukon732@gmail.com
_qffy9av92,0,66878835550,_qffy9av92501@gmail.com
t_ongkoon,0,66618654122,t_ongkoon221@gmail.com
jarusw,0,66828658390,jarusw906@gmail.com
pollytanatchaporn,0,66802333557,pollytanatchaporn570@gmail.com
sudaporn654,0,66606038718,sudaporn654187@gmail.com
jakkawal21,0,66811590341,jakkawal21410@gmail.com
teantong72,0,66868680791,teantong72915@gmail.com
q5pufqjg5n,1,66863030916,q5pufqjg5n164@gmail.com
jeen69.,0,66633277538,jeen69.387@gmail.com
jeans.tonkra2828,0,66874848909,jeans.tonkra2828097@gmail.com
mhekub11,0,66622007998,mhekub11981@gmail.com
thip212522,0,66675981813,thip212522133@gmail.com
c4afhvvq3_,0,66866970015,c4afhvvq3_157@gmail.com
sannitboonyapat,0,66808807488,sannitboonyapat888@gmail.com
balljanenara,0,66646052316,balljanenara165@gmail.com
everythingchillchill,0,66691744955,everythingchillchill553@gmail.com
namfontitirat1990,0,66800866673,namfontitirat1990731@gmail.com
tongarsa,0,66935372859,tongarsa595@gmail.com
zamukun,0,66888542984,zamukun843@gmail.com
ming_kck,0,66674393194,ming_kck947@gmail.com
uthai_damang,1,66937334035,uthai_damang352@gmail.com
nuy_nomsod2529,0,66656499290,nuy_nomsod2529903@gmail.com
napawan_nan,0,66803436757,napawan_nan573@gmail.com
piinuz3,0,66630878229,piinuz3297@gmail.com
wilaa59,0,66897034444,wilaa59448@gmail.com
akaranatoom,0,66932706392,akaranatoom925@gmail.com
miaouratanaporn172525,0,66815817896,miaouratanaporn172525961@gmail.com
kanlayakunthong,0,66853583580,kanlayakunthong800@gmail.com
daveeiei,0,66688505767,daveeiei676@gmail.com
surachat64,0,66976642180,surachat64808@gmail.com
